Dataset,Model,Adjusted AUC,Adjusted F1,Adjusted Precision,Adjusted Recall
Dataset 0,DeepSVDDTS,0.924 ± 0.011,0.815 ± 0.001,0.986 ± 0.036,0.696 ± 0.024
Dataset 0,USAD,0.804 ± 0.011,0.706 ± 0.002,0.715 ± 0.004,0.697 ± 0.000
Dataset 0,DeepIsolationForestTS,0.845 ± 0.005,0.778 ± 0.006,0.880 ± 0.014,0.697 ± 0.000
Dataset 0,TranAD,0.865 ± 0.004,0.814 ± 0.001,0.990 ± 0.007,0.692 ± 0.004
Dataset 0,COUTA,0.883 ± 0.041,0.814 ± 0.002,0.990 ± 0.013,0.692 ± 0.007
Dataset 0,AnomalyTransformer,0.914 ± 0.014,0.780 ± 0.034,0.915 ± 0.072,0.682 ± 0.029
Dataset 0,GDeepSVDDTS,0.868 ± 0.034,0.820 ± 0.014,0.991 ± 0.027,0.701 ± 0.039
Dataset 1,DeepSVDDTS,0.992 ± 0.001,0.925 ± 0.017,0.862 ± 0.029,1.000 ± 0.000
Dataset 1,USAD,0.953 ± 0.005,0.664 ± 0.031,0.497 ± 0.036,1.000 ± 0.000
Dataset 1,DeepIsolationForestTS,0.974 ± 0.000,0.814 ± 0.000,0.687 ± 0.000,1.000 ± 0.000
Dataset 1,TranAD,0.992 ± 0.005,0.910 ± 0.038,0.838 ± 0.061,1.000 ± 0.000
Dataset 1,COUTA,0.994 ± 0.006,0.938 ± 0.048,0.909 ± 0.026,0.973 ± 0.080
Dataset 1,AnomalyTransformer,0.972 ± 0.003,0.809 ± 0.008,0.680 ± 0.012,1.000 ± 0.000
Dataset 1,GDeepSVDDTS,0.995 ± 0.001,0.948 ± 0.016,0.901 ± 0.028,1.000 ± 0.000
Dataset 2,DeepSVDDTS,0.998 ± 0.001,0.980 ± 0.007,0.961 ± 0.013,1.000 ± 0.000
Dataset 2,USAD,0.930 ± 0.001,0.651 ± 0.000,0.483 ± 0.000,1.000 ± 0.000
Dataset 2,DeepIsolationForestTS,0.938 ± 0.001,0.784 ± 0.000,1.000 ± 0.000,0.645 ± 0.000
Dataset 2,TranAD,0.992 ± 0.000,0.951 ± 0.000,0.906 ± 0.000,1.000 ± 0.000
Dataset 2,COUTA,0.998 ± 0.001,0.986 ± 0.005,0.972 ± 0.010,1.000 ± 0.000
Dataset 2,AnomalyTransformer,0.974 ± 0.037,0.897 ± 0.109,0.829 ± 0.159,1.000 ± 0.000
Dataset 2,GDeepSVDDTS,0.998 ± 0.001,0.981 ± 0.008,0.963 ± 0.015,1.000 ± 0.000
